                                                            Lipinski, Eugene              
          Terms of Endearment                               MacLaine, Shirley             
                                                            Brooks, Albert (I)            
                                                            Winger, Debra                 
                                                            Wohl, David (I)               
                                                            Lithgow, John (I)             
                                                            Place, Mary Kay               
                                                            Nicholson, Jack (I)           
                                                            Daniels, Jeff (I)             
                                                            DeVito, Danny                 
          Yentl                                             Shale, Kerry                  
                                                            de Keyser, David              
                                                            Irving, Amy                   
                                                            Margolyes, Miriam             
                                                            Lyons, Derek                  
                                                            Corduner, Allan               
                                                            Streisand, Barbra             
1984      Beverly Hills Cop                                 Pinchot, Bronson              
                                                            Murphy, Eddie (I)             
                                                            Borkan, Gene                  
                                                            Reinhold, Judge               
                                                            Juarbe, Israel                
                                                            Berns, Gerald                 
                                                            Russo, James (I)              
                                                            Pesce, Frank                  
                                                            Overton, Rick                 
                                                            Cox, Ronny (I)                
                                                            Everett, Tom                  
                                                            Gregory, Michael (I)          
                                                            Reiser, Paul                  
                                                            Berkoff, Steven               
                                                            Pniewski, Mike                
          Footloose                                         Parker, Sarah Jessica         
                                                            Laughlin, John (I)            
                                                            Bishop, John (I)              
                                                            Wiest, Dianne                 
                                                            Bacon, Kevin (I)              
                                                            Lithgow, John (I)             
                                                            McCain, Frances Lee           
                                                            Penn, Chris (I)               
          Star Trek III: The Search for Spock               Liska, Stephen                
                                                            Lloyd, Christopher (I)        
                                                            Takei, George                 
                                                            Koenig, Walter (I)            
                                                            Nichols, Nichelle             
                                                            Victor, Teresa E.             
                                                            Sikking, James                
                                                            Shatner, William              
                                                            Kelley, DeForest              
                                                            Ferrer, Miguel (I)            
                                                            Welker, Frank                 
                                                            Nimoy, Leonard                
